galid,ra,dec,mag,sed_name,z,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,catsim_id
6895647969307,53.1820416,-27.3504859,23.2257342,galaxySED/Inst.12E09.02Z.spec.gz,1.33,sersic2d,0.690855384,0.470624,111.770821,1,6734031220
6895647970331,53.1818128,-27.35028,21.9060836,galaxySED/Inst.12E09.02Z.spec.gz,1.33,sersic2d,0.690855384,0.470624,111.770821,1,6734031221
7297218994203,52.9008526,-27.2822603,22.3285133,galaxySED/Burst.50E09.04Z.spec.gz,0.55,sersic2d,0.351985395,0.1896341,349.609009,1,7126190424
7297218995227,52.9006573,-27.2821694,22.2785882,galaxySED/Burst.50E09.04Z.spec.gz,0.55,sersic2d,0.351985395,0.1896341,349.609009,1,7126190425
7323228532763,53.0651353,-27.4797751,22.8907073,galaxySED/Inst.20E09.04Z.spec.gz,0.61,sersic2d,0.129355296,0.0285896994,55.1316071,1,7151590364
7323228533787,53.0652314,-27.479428,24.8143548,galaxySED/Inst.20E09.04Z.spec.gz,0.61,sersic2d,0.129355296,0.0285896994,55.1316071,1,7151590365
7911066005531,53.1364801,-27.5111054,23.1176936,galaxySED/Inst.20E09.04Z.spec.gz,1.18,sersic2d,0.496772885,0.213530093,84.435318,1,7725650396
7911066006555,53.1366863,-27.5110816,21.3466517,galaxySED/Inst.20E09.04Z.spec.gz,1.18,sersic2d,0.496772885,0.213530093,84.435318,1,7725650397
9284618874907,53.1588286,-27.6159179,22.8714859,galaxySED/Burst.40E09.04Z.spec.gz,0.86,sersic2d,0.740749121,0.508698821,186.370071,1,9067010620
9284618875931,53.1581423,-27.6158318,22.5212668,galaxySED/Burst.40E09.04Z.spec.gz,0.86,sersic2d,0.740749121,0.508698821,186.370071,1,9067010621
9284618876955,53.158706,-27.6154374,20.7521099,galaxySED/Burst.40E09.04Z.spec.gz,0.86,sersic2d,0.740749121,0.508698821,186.370071,1,9067010622
