#detector;R:1,0 S:1,1;62.399995;0.000000;41.999998;82.799987;-19.999999;19.999999;0.200000
#detector;R:1,0 S:0,0;21.999999;-40.399998;2.000000;41.999998;-60.799995;-19.999999;0.200000
#detector;R:0,0 S:1,1;-22.000000;0.000000;-41.999998;-2.000000;-20.400000;20.400000;0.200000
#detector;R:0,0 S:0,0;-62.399993;-40.399995;-82.399987;-42.399995;-60.799993;-19.999997;0.200000
#detector;R:1,0 S:0,2;21.999999;40.399998;2.000000;41.999998;19.999999;60.799995;0.200000
#detector;R:1,0 S:1,0;62.399993;-40.399995;42.399995;82.399987;-60.799993;-19.999997;0.200000
#detector;R:0,0 S:0,2;-62.399993;40.399995;-82.399987;-42.399995;19.999997;60.799993;0.200000
#detector;R:0,0 S:1,0;-21.999999;-40.399998;-42.399998;-1.600000;-60.399995;-20.399999;0.200000
#detector;R:1,0 S:1,2;62.399993;40.399995;42.399995;82.399987;19.999997;60.799993;0.200000
#detector;R:1,0 S:0,1;22.000000;0.000000;2.000000;41.999998;-20.400000;20.400000;0.200000
#detector;R:0,0 S:1,2;-21.999999;40.399998;-41.999998;-2.000000;19.999999;60.799995;0.200000
#detector;R:0,0 S:0,1;-62.399995;0.000000;-82.399987;-42.399998;-20.399999;20.399999;0.200000
#galSimType;uniqueId;raObserved;decObserved;chipName;x_pupil;y_pupil;sedFilepath;majorAxis;minorAxis;sindex;halfLightRadius;positionAngle;fitsFiles;redshift
sersic;2153810724890;1.53655834;-4.82222625;None;-1.68239902;2.55925873;galaxySED/Burst.40E09.04Z.spec.gz;2.19963308e-06;1.59196812e-06;4;0.45370689;6.14821684;R:0,0 S:1,1//R:1,0 S:0,1;1.55478716
sersic;2160511546394;1.53833054;-4.82375491;R:1,0 S:0,1;3.3291238;-4.19240746;galaxySED/Burst.20E09.02Z.spec.gz;8.49147295e-07;6.8234133e-07;4;0.175149202;4.39295106;R:1,0 S:0,1;3.13272333
sersic;2159669413914;1.5364707;-4.82383895;R:1,0 S:0,1;4.13058937;2.43787001;galaxySED/Inst.25E09.02Z.spec.gz;7.10103687e-07;6.94330251e-07;4;0.146469399;0.29074169;R:1,0 S:0,1;2.07129002
sersic;2155462890522;1.53795556;-4.82438239;R:1,0 S:0,1;5.68248233;-3.02024815;galaxySED/Burst.25E09.02Z.spec.gz;3.54215054e-07;3.53241545e-07;4;0.0730620995;6.04880316;R:1,0 S:0,1;2.95871234
sersic;2154062753818;1.54596454;-4.82538019;None;7.11258972;-31.938777;galaxySED/Exp.62E09.02Z.spec.gz;5.56131234e-07;3.51286292e-07;4;0.114710301;5.88713224;R:1,0 S:0,0;0.723139524
sersic;2157107058714;1.54511998;-4.82547661;None;7.68564948;-28.9436262;galaxySED/Inst.25E09.04Z.spec.gz;1.8900708e-06;1.19008617e-06;4;0.389855087;2.50060227;R:1,0 S:0,0//R:0,0 S:1,0//R:1,0 S:0,1;1.61879325
sersic;2150452439066;1.54220974;-4.82137824;R:0,0 S:1,1;-6.24516485;-17.4281558;galaxySED/Exp.80E09.02Z.spec.gz;7.82443721e-07;7.05069876e-07;4;0.161390603;4.3639045;R:0,0 S:1,1;0.426315188
sersic;2161632731162;1.54159755;-4.82217468;R:0,0 S:1,1;-3.22154806;-15.452979;galaxySED/Exp.25E09.02Z.spec.gz;7.37712888e-07;7.28280787e-07;4;0.152164206;2.91730016;R:0,0 S:1,1;1.95370638
sersic;2151387970586;1.54310691;-4.82508063;None;6.80496763;-21.635777;galaxySED/Inst.20E09.02Z.spec.gz;9.03359644e-07;6.78616994e-07;4;0.186331302;2.6274007;R:1,0 S:0,0//R:1,0 S:0,1;1.46018124
sersic;2150879819802;1.54429992;-4.82569818;None;8.70136983;-26.0698895;galaxySED/Burst.40E09.04Z.spec.gz;2.58870788e-06;2.20965475e-06;4;0.533959329;4.3860098;R:1,0 S:0,0//R:0,0 S:1,0//R:1,0 S:0,1;1.69127464
sersic;2151464551450;1.53615281;-4.81648256;R:0,0 S:1,1;-22.1925964;5.55881639;galaxySED/Exp.50E09.02Z.spec.gz;1.23921284e-06;9.53352142e-07;4;0.255605996;0.540328387;R:0,0 S:1,1;2.92135572
sersic;2153760591898;1.53641916;-4.82006629;R:0,0 S:1,1;-9.39897626;3.63961271;galaxySED/Burst.40E09.04Z.spec.gz;2.30942302e-06;1.73982716e-06;4;0.476352692;4.98408734;R:0,0 S:1,1;1.12985861
sersic;2159391174682;1.5368372;-4.81957421;R:0,0 S:1,1;-11.2778303;2.27688049;galaxySED/Burst.32E09.04Z.spec.gz;1.86222175e-06;1.86152403e-06;4;0.384110808;6.01356475;R:0,0 S:1,1;1.2262969
sersic;2152560210970;1.54070576;-4.82043844;R:0,0 S:1,1;-9.21482892;-11.7947107;galaxySED/Inst.20E09.02Z.spec.gz;5.51202139e-07;3.69361602e-07;4;0.113693602;2.14858284;R:0,0 S:1,1;0.639277279
sersic;2151643281434;1.53944645;-4.81873916;R:0,0 S:1,1;-14.9767022;-6.83171008;galaxySED/Inst.40E09.04Z.spec.gz;1.44795673e-06;1.04183651e-06;4;0.298662513;0.582417951;R:0,0 S:1,1;1.3804698
sersic;2159753225242;1.53834733;-4.81895262;R:0,0 S:1,1;-13.9150632;-2.95750842;galaxySED/Burst.25E09.04Z.spec.gz;8.84683634e-07;8.59174172e-07;4;0.182479098;0.0450039562;R:0,0 S:1,1;2.32923651
sersic;2163293557786;1.53746553;-4.82191465;R:0,0 S:1,1;-3.04476033;-0.601887871;galaxySED/Burst.25E09.04Z.spec.gz;3.63351357e-07;3.62846668e-07;4;0.0749465972;0.409911258;R:0,0 S:1,1;2.14104915
