prefix,uniqueId,raPhoSim,decPhoSim,phoSimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,internalExtinctionModel,internalAv,internalRv,galacticExtinctionModel,galacticAv,galacticRv
object,5090862106,53.0990156,-27.6239838,20.7034535,galaxySED/Burst.32E09.02Z.spec.gz,0.444,0,0,0,0,0,sersic2d,4.81782212e-06,4.55675773e-06,1.26537942,4,CCM,0.400000006,3.0999999,CCM,0.0299722083,3.1
object,5145491482,53.3366905,-27.5081782,21.6730293,galaxySED/Burst.32E09.02Z.spec.gz,0.498,0,0,0,0,0,sersic2d,1.60173969e-06,1.07881349e-06,-1.7063016,4,CCM,0.200000003,3.0999999,CCM,0.0238946944,3.1
object,5145496602,52.894931,-27.1653516,21.0285534,galaxySED/Burst.50E09.04Z.spec.gz,0.46,0,0,0,0,0,sersic2d,2.7341062e-06,1.57292009e-06,1.63043772,4,CCM,0.200000003,3.0999999,CCM,0.024622694,3.1
object,5200988186,53.0793245,-27.4636188,16.7431845,galaxySED/Inst.32E09.02Z.spec.gz,0.072,0,0,0,0,0,sersic2d,1.741334e-05,1.24261942e-05,-2.28641797,4,CCM,0.0,3.0999999,CCM,0.0277541296,3.1
object,5200990234,53.2117159,-27.4574956,20.9916004,galaxySED/Burst.32E09.02Z.spec.gz,0.34,0,0,0,0,0,sersic2d,4.11121271e-06,2.54722188e-06,2.32919774,4,CCM,0.0,3.0999999,CCM,0.0221624241,3.1
object,5393677338,52.9180656,-27.6098295,22.1646637,galaxySED/Burst.50E09.04Z.spec.gz,0.744,0,0,0,0,0,sersic2d,5.70121213e-06,4.60799558e-06,-2.09392561,4,CCM,0.100000001,3.0999999,CCM,0.0236151496,3.1
object,5472770074,52.8342002,-27.5328861,22.5939507,galaxySED/Burst.40E09.04Z.spec.gz,1.118,0,0,0,0,0,sersic2d,4.13727976e-06,2.86201085e-06,-1.39049474,4,CCM,0.0,3.0999999,CCM,0.0303897636,3.1
object,5818009626,52.7623263,-27.3875744,21.4440502,galaxySED/Inst.25E09.02Z.spec.gz,0.632,0,0,0,0,0,sersic2d,4.23088879e-06,2.88481037e-06,-1.86245655,4,CCM,0.400000006,3.0999999,CCM,0.0281738028,3.1
object,5857417242,53.1372756,-27.5587152,21.8945622,galaxySED/Burst.32E09.02Z.spec.gz,0.574,0,0,0,0,0,sersic2d,2.85989467e-06,1.87810312e-06,2.02941649,4,CCM,0.400000006,3.0999999,CCM,0.0305179606,3.1
object,5876710426,53.2414662,-27.4281371,21.4313969,galaxySED/Inst.25E09.02Z.spec.gz,0.562,0,0,0,0,0,sersic2d,7.30340909e-06,6.20142764e-06,-2.38953202,4,CCM,0.0,3.0999999,CCM,0.020980483,3.1
object,5877047322,52.8955191,-27.453678,21.0792851,galaxySED/Inst.40E09.04Z.spec.gz,0.322,0,0,0,0,0,sersic2d,5.05997384e-06,4.46702181e-06,1.41010683,4,CCM,0.0,3.0999999,CCM,0.0325128974,3.1
object,6088074266,52.8442577,-27.5266672,20.7490753,galaxySED/Burst.25E09.04Z.spec.gz,0.468,0,0,0,0,0,sersic2d,5.97260557e-06,1.55283982e-06,-1.2457291,4,CCM,0.0,3.0999999,CCM,0.0304516141,3.1
