prefix,uniqueId,raPhoSim,decPhoSim,phosimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,internalExtinctionModel,internalAv,internalRv,galacticExtinctionModel,galacticAv,galacticRv,galaxy_id,twinkles_system,image_number
object,2081992915051,53.348398200000005,-27.671847800000002,27.9654373,galaxySED/Burst.10E09.02Z.spec.gz,0.300670296,0.000251450314,-0.000320973748,-4.804134370000001e-05,0,0,sersic2d,0.041850046099999996,0.030089379500000003,83.7737917,1,CCM,0.140793364,1.27933524,CCM,0.0207807293,3.1,203319,1551,2
object,2081992916075,53.348389000000005,-27.671800899999997,27.9654373,galaxySED/Burst.10E09.02Z.spec.gz,0.300670296,0.000251450314,-0.000320973748,-4.804134370000001e-05,0,0,sersic2d,0.041850046099999996,0.030089379500000003,83.7737917,1,CCM,1.54619508,1.06657924,CCM,0.0207789289,3.1,203319,1551,3
object,2426301378667,52.5474465,-28.3142043,30.6773554,galaxySED/Exp.50E08.04Z.spec.gz,0.300915211,3.0756586099999996e-05,-0.000305857335,-0.0011546611800000001,0,0,sersic2d,0.06308380820000001,0.0492012996,173.850854,1,CCM,2.99022268,2.80482819,CCM,0.0256723527,3.1,236943,1235,0
object,2426301379691,52.5475679,-28.3142956,30.6773554,galaxySED/Exp.50E08.04Z.spec.gz,0.300915211,3.0756586099999996e-05,-0.000305857335,-0.0011546611800000001,0,0,sersic2d,0.06308380820000001,0.0492012996,173.850854,1,CCM,2.26108664,2.94882307,CCM,0.025667079500000002,3.1,236943,1235,1
object,2427153215595,53.189519,-28.2219933,26.0154609,galaxySED/Exp.40E09.02Z.spec.gz,0.310640275,-0.0010472767800000001,-0.0014895468499999999,0.000149130821,0,0,sersic2d,0.184529202,0.158138839,113.64340700000001,1,CCM,1.82141984,4.59522848,CCM,0.0215085748,3.1,237026,1703,0
object,2427153216619,53.1893995,-28.222032799999997,26.0154609,galaxySED/Exp.40E09.02Z.spec.gz,0.310640275,-0.0010472767800000001,-0.0014895468499999999,0.000149130821,0,0,sersic2d,0.184529202,0.158138839,113.64340700000001,1,CCM,0.880400172,4.93950484,CCM,0.021510142799999996,3.1,237026,1703,1
object,2430103199851,52.8499254,-28.064366600000003,25.773722199999998,galaxySED/Burst.12E09.02Z.spec.gz,0.315428466,-0.000613936689,-0.0010070495800000002,-0.000265836716,0,0,sersic2d,0.14540915699999998,0.0336022817,174.044379,1,CCM,0.33149236,3.39242202,CCM,0.0256044877,3.1,237314,1914,0
object,2430103200875,52.84990160000001,-28.0650157,25.773722199999998,galaxySED/Burst.12E09.02Z.spec.gz,0.315428466,-0.000613936689,-0.0010070495800000002,-0.000265836716,0,0,sersic2d,0.14540915699999998,0.0336022817,174.044379,1,CCM,0.33149236,3.39242202,CCM,0.0256005461,3.1,237314,1914,1
object,2431697981547,52.792479799999995,-27.904826399999997,27.413115899999998,galaxySED/Burst.16E09.002Z.spec.gz,0.322600514,0.00136577513,-0.00016454298699999998,-0.0013422966,0,0,sersic2d,0.136176146,0.107227061,68.4203064,1,CCM,0.405373589,4.50002627,CCM,0.027380087400000003,3.1,237470,1265,0
object,2431697982571,52.7933806,-27.904727899999997,27.413115899999998,galaxySED/Burst.16E09.002Z.spec.gz,0.322600514,0.00136577513,-0.00016454298699999998,-0.0013422966,0,0,sersic2d,0.136176146,0.107227061,68.4203064,1,CCM,0.220148022,2.43416196,CCM,0.0273769917,3.1,237470,1265,1
