# AGN_ID, AGN_RA, AGN_DEC, AGN_ABMAG, AGN_SED, AGN_RedShift, AGN_CatSim_ID, AGN_Twinkles_ID, AGN_IMG_NUM, AGN_SRC_y1, AGN_SRC_y2, AGN_IMG_MAG, LENS_IMG_SED, AGN_LensGal_ID
213934178332 53.052941 -27.7033144 21.1014594 agnSED/agn.spec.gz 0.48 208920096 24 0 -0.3190134 0.08788131 1.1298 Inst.25E09.02Z.spec 21393434
233595183132 53.0834399 -27.7074247 21.8323018 agnSED/agn.spec.gz 0.66 228120296 74 0 -0.08283626 0.07281931 7.1114 Burst.62E09.04Z.spec 23359514
485837983772 52.7858168 -27.3042272 20.0769006 agnSED/agn.spec.gz 0.75 474451156 289 0 -0.0420955 -0.322905 1.5634 Burst.50E09.04Z.spec 48583706
551311822876 52.9699268 -27.4221909 20.3711495 agnSED/agn.spec.gz 0.69 538390452 113 0 -0.06713398 -0.2765808 2.6343 Inst.40E09.04Z.spec 55131162
785592844316 52.9006004 -27.2818658 22.7653619 agnSED/agn.spec.gz 0.62 767180512 128 0 0.3773131 0.7968826 1.8079 Inst.25E09.02Z.spec 78559258
794901004316 53.1284066 -27.5017185 22.6010005 agnSED/agn.spec.gz 0.62 776270512 128 0 0.3773131 0.7968826 1.8079 Inst.25E09.02Z.spec 79490074
957522223132 52.8537806 -27.2302554 22.4991924 agnSED/agn.spec.gz 0.66 935080296 74 0 -0.08283626 0.07281931 7.1114 Burst.62E09.04Z.spec 95752218
1072506978332 53.2552647 -27.5926263 21.5086093 agnSED/agn.spec.gz 0.48 1047370096 24 0 -0.3190134 0.08788131 1.1298 Inst.25E09.02Z.spec 107250714
1257605247004 53.1403691 -27.6887546 23.3059286 agnSED/agn.spec.gz 0.62 1228130124 31 0 0.1955053 -0.3261197 2.4912 Burst.50E09.02Z.spec 125760538
1302364684316 53.0173568 -27.5841959 22.3867826 agnSED/agn.spec.gz 0.62 1271840512 128 0 0.3773131 0.7968826 1.8079 Inst.25E09.02Z.spec 130236442
1370163503132 53.2360842 -27.4607287 21.7000374 agnSED/agn.spec.gz 0.66 1338050296 74 0 -0.08283626 0.07281931 7.1114 Burst.62E09.04Z.spec 137016346
2098411823132 52.9735542 -27.6448562 21.6724431 agnSED/agn.spec.gz 0.66 2049230296 74 0 -0.08283626 0.07281931 7.1114 Burst.62E09.04Z.spec 209841178
